City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Mitchelstown,IE,2022-04-05 03:59:58,52.2658,-8.2681,48.69,79,100,15.41
132,Kieta,PG,2022-04-05 03:59:58,-6.2167,155.6333,82.8,84,100,10.25
133,Provideniya,RU,2022-04-05 03:59:58,64.3833,-173.3,10.51,61,0,15.99
134,Illapel,CL,2022-04-05 03:59:59,-31.6308,-71.1653,66.72,51,0,1.7
135,Tiksi,RU,2022-04-05 03:59:02,71.6872,128.8694,-2.24,96,100,4.92
136,Kumul,CN,2022-04-05 03:59:59,42.8,93.45,69.04,10,2,2.62
137,Sorong,ID,2022-04-05 03:56:53,-0.8833,131.25,87.55,64,76,11.99
138,Upernavik,GL,2022-04-05 03:57:58,72.7868,-56.1549,17.06,86,100,5.46
139,Kadhan,PK,2022-04-05 04:00:00,24.481,68.9859,86.0,34,66,13.49
140,Victoria Point,AU,2022-04-05 04:00:00,-27.5833,153.3,88.45,61,0,3.0
141,Klaksvík,FO,2022-04-05 04:00:01,62.2266,-6.589,29.32,62,100,13.6
142,Ürümqi,CN,2022-04-05 04:00:02,43.801,87.6005,63.55,24,0,4.47
143,Acarí,PE,2022-04-05 04:00:07,-15.4311,-74.6158,72.66,75,97,2.82
144,Hasaki,JP,2022-04-05 03:55:16,35.7333,140.8333,55.8,79,100,17.74
145,Ribeira Grande,PT,2022-04-05 03:56:09,38.5167,-28.7,60.06,75,58,8.99
146,Bahía Honda,CU,2022-04-05 03:55:31,22.9036,-83.1592,75.4,78,0,4.74
147,Acaraú,BR,2022-04-05 04:00:22,-2.8856,-40.12,77.77,85,100,7.63
148,Prescott,US,2022-04-05 04:00:33,34.54,-112.4685,60.3,31,60,1.01
149,Sterling,US,2022-04-05 03:57:14,39.0062,-77.4286,51.93,59,100,0.0
150,Pangnirtung,CA,2022-04-05 03:57:33,66.1451,-65.7125,3.81,97,100,1.74
151,Tazovsky,RU,2022-04-05 04:00:48,67.4667,78.7,28.09,96,100,16.37
152,Rørvik,NO,2022-04-05 04:00:49,64.8621,11.2373,31.71,54,93,19.69
153,Vihti,FI,2022-04-05 04:00:50,60.417,24.3197,34.52,100,100,13.0
154,Torbay,CA,2022-04-05 03:58:19,47.6666,-52.7314,40.75,96,100,23.02
155,Eydhafushi,MV,2022-04-05 04:00:51,5.1033,73.0708,83.39,64,13,1.28
156,Ancud,CL,2022-04-05 04:00:52,-41.8697,-73.8203,57.22,97,100,12.06
157,Lysá nad Labem,CZ,2022-04-05 04:00:53,50.2014,14.8328,40.71,96,100,20.09
158,Lorengau,PG,2022-04-05 04:01:04,-2.0226,147.2712,83.77,76,100,15.95
